127.0.0.1 - - [26/Oct/2015:18:44:48 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Oct/2015:18:44:51 -0400] "GET /Library/Library.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [26/Oct/2015:18:44:58 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Oct/2015:18:45:04 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [26/Oct/2015:18:45:50 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [26/Oct/2015:18:45:54 -0400] "GET /Library/GetCameraDetails?camName=123 HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [26/Oct/2015:18:47:27 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:25:02 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:25:47 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:25:56 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:27:08 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 500 4399
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:30:30 -0400] "GET /Library/Library.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:31:22 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:31:35 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:31:56 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:32:05 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:33:34 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:33:45 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:34:31 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:34:47 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:34:58 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:36:08 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:36:20 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:37:19 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:38:40 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:40:44 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:41:01 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:41:37 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:41:52 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:45:25 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:45:30 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-20 HTTP/1.1" 500 1794
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:45:44 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-20 HTTP/1.1" 500 1794
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:45:50 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:45:59 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-20 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:47:32 -0400] "GET /Library/GetCameraDetails?camName=456 HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [26/Oct/2015:19:48:13 -0400] "GET /Library/ReserveCamera?reserveDate=2015-11-06 HTTP/1.1" 200 -
