127.0.0.1 - - [22/Oct/2015:00:49:28 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Oct/2015:00:51:16 -0400] "GET /Library/Library.jsp HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [22/Oct/2015:00:51:18 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Oct/2015:00:51:31 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [22/Oct/2015:00:59:44 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [22/Oct/2015:01:00:33 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [22/Oct/2015:01:00:44 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [22/Oct/2015:01:01:59 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:36:11 -0400] "POST /Library/CheckStudentLogin HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:36:28 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:36:33 -0400] "GET /Library/Cameralist.jsp HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:37:39 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:39:48 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:39:51 -0400] "GET /Library/CameraDetails.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:49:35 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:49:38 -0400] "GET /CameraDetails.jsp HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:49:52 -0400] "GET /CameraDetails.jsp HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:50:08 -0400] "GET /Library/Camera.jsp HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [22/Oct/2015:23:50:11 -0400] "GET /Library/CameraDetails.jsp HTTP/1.1" 200 271
